OverallQual,TotalBsmtSF,GarageArea,GrLivArea,YearBuilt
7,723,367,767,1998
7,654,426,1496,2006
8,1520,648,1567,2006
5,980,308,1148,1952
8,1085,753,1970,2006
8,1453,750,2810,1990
8,1470,696,2630,1998
5,1105,480,2274,1960
6,1261,433,1261,1958
5,1486,480,1486,1964
5,773,240,773,1953
6,1319,462,1537,1962
7,866,546,1779,1998
4,950,0,1225,1959
6,848,420,848,2003
6,780,198,1376,1937
6,729,440,1471,1999
4,440,0,869,1923
6,729,440,1458,1999
5,864,440,894,1974
7,832,427,1718,1998
5,1390,611,1701,1975
4,864,576,864,1972
6,528,512,1855,1976
6,1606,616,1651,1986
6,612,528,1224,2009
5,928,288,928,1957
4,0,0,1092,1930
7,728,546,1641,1925
6,708,776,1416,1968
8,1058,736,1904,2005
5,936,308,936,1956
6,716,452,1556,1980
4,864,400,864,1951
7,1654,900,1654,2002
5,816,576,1416,1918
8,1252,856,2365,1999
4,1067,436,1067,1950
6,0,539,1902,1978
7,1374,420,1557,2003
7,1195,486,1839,1998
